,Year,Sex,Fatal Y/N,Country,Type
128,2024,f,n,MALDIVES,UNPROVOKED
129,2024,m,n,HAWAII,UNPROVOKED
130,2024,f,n,AUSTRALIA,UNPROVOKED
131,2024,m,n,USA,UNPROVOKED
132,2024,m,n,HONDURAS,UNPROVOKED
133,2024,m,n,USA,UNPROVOKED
134,2024,f,y,INDONESIA,QUESTIONABLE
135,2024,m,n,HONDURAS,UNPROVOKED
136,2024,f,y,MOROCCO,UNPROVOKED
137,2024,m,y,JAMAICA,UNPROVOKED
138,2024,f,n,BELIZE,UNPROVOKED
139,2024,m,n,AUSTRALIA,UNPROVOKED
140,2024,m,n,AUSTRALIA,UNPROVOKED
141,2024,m,n,USA,UNPROVOKED
142,2024,m,n,AUSTRALIA,UNPROVOKED
143,2024,m,n,USA,UNPROVOKED
144,2024,f,n,USA,UNPROVOKED
145,2026,f,n,USA,UNPROVOKED
146,2025,f,n,USA,UNPROVOKED
147,2024,m,n,USA,UNPROVOKED
148,2024,m,n,USA,UNPROVOKED
150,2024,f,n,USA,UNPROVOKED
151,2024,f,n,USA,UNPROVOKED
152,2024,f,n,USA,UNPROVOKED
153,2024,m,n,USA,UNPROVOKED
154,2024,m,y,MALDIVE ISLANDS,UNPROVOKED
155,2024,f,n,USA,UNPROVOKED
156,2024,m,n,TURKS AND CAICOS,UNPROVOKED
157,2024,m,n,FRENCH POLYNESIA,UNPROVOKED
158,2024,m,n,USA,UNPROVOKED
159,2024,m,n,TOBAGO,UNPROVOKED
160,2024,m,n,BAHAMAS,UNPROVOKED
161,2024,m,n,AUSTRALIA,UNPROVOKED
162,2024,m,n,AUSTRALIA,UNPROVOKED
163,2024,m,n,MALDIVE ISLANDS,UNPROVOKED
164,2024,f,n,AUSTRALIA,UNPROVOKED
165,2024,m,n,USA,UNPROVOKED
166,2024,f,n,USA,UNPROVOKED
167,2024,f,n,AUSTRALIA,UNPROVOKED
168,2024,m,n,INDIA,UNPROVOKED
169,2024,m,n,TRINIDAD,PROVOKED
170,2024,f,n,AUSTRALIA,UNPROVOKED
171,2024,m,n,BAHAMAS,UNPROVOKED
172,2024,m,n,AUSTRALIA,UNPROVOKED
173,2024,m,n,SOUTH AFRICA,PROVOKED
174,2023,m,y,USA,UNPROVOKED
175,2023,m,y,MEXICO,UNPROVOKED
176,2023,m,y,AUSTRALIA,UNPROVOKED
177,2023,m,n,AUSTRALIA,UNPROVOKED
178,2023,m,n,AUSTRALIA,UNPROVOKED
179,2023,f,n,NEW ZEALAND,UNPROVOKED
180,2023,m,y,MEXICO,QUESTIONABLE
181,2023,f,n,MEXICO,QUESTIONABLE
182,2023,m,n,AUSTRALIA,UNPROVOKED
183,2023,f,y,BAHAMAS,UNPROVOKED
184,2023,f,y,MEXICO,UNPROVOKED
185,2023,m,n,AUSTRALIA,UNPROVOKED
186,2023,f,y,BAHAMAS,UNPROVOKED
187,2023,f,n,AUSTRALIA,UNPROVOKED
188,2023,m,n,USA,UNPROVOKED
189,2023,m,n,AUSTRALIA,UNPROVOKED
190,2023,m,n,NEW ZEALAND,UNPROVOKED
191,2023,m,n,EGYPT,QUESTIONABLE
192,2023,m,y,AUSTRALIA,UNPROVOKED
193,2023,m,n,USA,UNPROVOKED
194,2023,m,n,MEXICO,PROVOKED
195,2023,m,n,AUSTRALIA,WATERCRAFT
196,2023,f,n,BELIZE,UNPROVOKED
197,2023,m,n,USA,UNPROVOKED
198,2023,m,n,USA,UNPROVOKED
199,2023,f,n,USA,UNPROVOKED
200,2023,f,n,AUSTRALIA,UNPROVOKED
201,2023,m,y,USA,UNPROVOKED
202,2023,m,n,USA,UNPROVOKED
203,2023,f,n,EGYPT,UNPROVOKED
204,2023,m,n,USA,QUESTIONABLE
