,Year,Sex,Fatal Y/N,Country,Type
595,2019,m,y,PAPUA NEW GUINEA,UNPROVOKED
596,2019,m,n,SOUTH AFRICA,UNPROVOKED
597,2019,f,n,NEW ZEALAND,UNPROVOKED
598,2019,m,n,USA,UNPROVOKED
601,2019,m,n,AUSTRALIA,UNPROVOKED
602,2019,m,y,CUBA,UNPROVOKED
603,2019,m,n,USA,UNPROVOKED
604,2019,m,n,USA,UNPROVOKED
605,2019,m,n,AUSTRALIA,UNPROVOKED
607,2019,m,n,MEXICO,PROVOKED
608,2019,m,n,ISRAEL,UNPROVOKED
609,2019,m,n,FRENCH POLYNESIA,PROVOKED
610,2019,m,n,USA,UNPROVOKED
611,2019,m,n,MEXICO,UNPROVOKED
612,2019,m,n,SOUTH AFRICA,WATERCRAFT
613,2019,f,n,USA,UNPROVOKED
614,2019,m,y,REUNION ISLAND,QUESTIONABLE
615,2019,m,n,AUSTRALIA,UNPROVOKED
616,2019,m,n,USA,PROVOKED
617,2018,m,n,USA,UNPROVOKED
619,2019,m,n,AUSTRALIA,UNPROVOKED
620,2019,m,n,USA,UNPROVOKED
621,2019,m,n,AUSTRALIA,UNPROVOKED
622,2019,m,n,USA,WATERCRAFT
623,2019,m,n,USA,UNPROVOKED
624,2019,m,n,AUSTRALIA,PROVOKED
625,2019,f,n,USA,UNPROVOKED
626,2019,m,n,USA,UNPROVOKED
627,2019,m,n,USA,UNPROVOKED
629,2019,f,n,USA,UNPROVOKED
630,2019,m,n,AUSTRALIA,UNPROVOKED
631,2019,m,n,USA,UNPROVOKED
632,2019,m,n,USA,UNPROVOKED
633,2019,m,n,USA,PROVOKED
634,2019,m,n,USA,UNPROVOKED
635,2019,f,n,USA,UNPROVOKED
636,2019,m,n,FIJI,UNPROVOKED
637,2019,m,n,USA,UNPROVOKED
638,2019,m,n,USA,UNPROVOKED
639,2019,m,n,USA,UNPROVOKED
640,2019,f,n,USA,UNPROVOKED
641,2019,m,n,USA,UNPROVOKED
642,2019,m,n,USA,UNPROVOKED
643,2019,m,n,USA,UNPROVOKED
644,2019,m,n,USA,PROVOKED
645,2019,m,n,USA,UNPROVOKED
647,2019,m,n,USA,UNPROVOKED
648,2019,m,n,USA,UNPROVOKED
649,2019,m,n,USA,UNPROVOKED
651,2019,m,n,NEW ZEALAND,UNPROVOKED
652,2019,f,n,USA,UNPROVOKED
653,2019,f,n,USA,UNPROVOKED
654,2019,m,n,SOUTH AFRICA,UNPROVOKED
655,2019,m,n,AUSTRALIA,UNPROVOKED
656,2019,m,n,MEXICO,PROVOKED
657,2019,m,n,BAHAMAS,UNPROVOKED
658,2019,m,n,USA,UNPROVOKED
659,2019,f,y,BAHAMAS,UNPROVOKED
660,2019,m,n,BAHAMAS,UNPROVOKED
661,2019,m,n,USA,UNPROVOKED
663,2019,m,n,USA,UNPROVOKED
664,2019,m,n,USA,UNPROVOKED
665,2019,m,n,AUSTRALIA,UNPROVOKED
666,2019,m,n,AUSTRALIA,UNVERIFIED
667,2019,f,n,USA,UNPROVOKED
668,2019,m,y,NEW CALEDONIA,UNPROVOKED
669,2019,m,y,USA,UNPROVOKED
670,2019,m,n,NEW CALEDONIA,UNPROVOKED
671,2019,m,n,USA,UNPROVOKED
672,2019,m,n,FIJI,UNPROVOKED
673,2019,m,n,USA,UNPROVOKED
674,2019,m,n,AUSTRALIA,UNPROVOKED
675,2019,m,y,REUNION ISLAND,UNPROVOKED
676,2019,f,n,USA,UNPROVOKED
677,2019,f,n,USA,UNPROVOKED
678,2019,m,n,BRAZIL,PROVOKED
679,2019,m,n,USA,UNPROVOKED
680,2019,m,n,AUSTRALIA,UNPROVOKED
681,2019,f,n,USA,UNPROVOKED
682,2019,m,n,USA,UNPROVOKED
683,2019,f,n,USA,QUESTIONABLE
684,2019,m,n,USA,QUESTIONABLE
685,2019,m,n,USA,UNPROVOKED
686,2019,f,n,CHINA,PROVOKED
687,2019,m,n,USA,WATERCRAFT
688,2019,m,n,AUSTRALIA,UNPROVOKED
689,2019,m,n,USA,UNPROVOKED
690,2019,m,n,MEXICO,UNPROVOKED
691,2019,m,n,USA,UNPROVOKED
692,2019,m,n,USA,UNPROVOKED
693,2019,m,n,USA,UNPROVOKED
694,2019,m,n,SOUTH AFRICA,PROVOKED
695,2019,m,n,USA,UNPROVOKED
696,2019,m,n,AUSTRALIA,UNPROVOKED
697,2019,m,n,BRAZIL,UNPROVOKED
698,2019,m,n,AUSTRALIA,UNPROVOKED
699,2019,m,n,USA,UNPROVOKED
700,2019,m,n,AUSTRALIA,UNPROVOKED
701,2019,m,n,SOUTH AFRICA,WATERCRAFT
702,2019,m,n,USA,UNPROVOKED
703,2019,m,y,REUNION ISLAND,UNPROVOKED
704,2019,f,n,NEW ZEALAND,INVALID
705,2019,f,n,AUSTRALIA,UNPROVOKED
706,2019,f,n,AUSTRALIA,INVALID
707,2019,m,n,USA,UNPROVOKED
708,2018,m,y,MEXICO,UNPROVOKED
709,2018,m,n,AUSTRALIA,PROVOKED
710,2018,m,n,NEW ZEALAND,UNPROVOKED
711,2018,m,n,NEW ZEALAND,UNPROVOKED
712,2018,m,n,AUSTRALIA,UNPROVOKED
713,2018,m,n,AUSTRALIA,UNPROVOKED
714,2018,m,n,USA,UNPROVOKED
715,2018,m,n,AUSTRALIA,UNPROVOKED
716,2018,m,n,AUSTRALIA,UNPROVOKED
717,2018,m,n,AUSTRALIA,WATERCRAFT
718,2018,m,n,SOUTH AFRICA,UNPROVOKED
719,2018,m,n,AUSTRALIA,UNPROVOKED
720,2018,m,n,BAHAMAS,UNPROVOKED
721,2018,m,n,AUSTRALIA,UNPROVOKED
722,2018,m,y,AUSTRALIA,UNPROVOKED
723,2018,m,n,EGYPT,UNPROVOKED
724,2018,m,n,AUSTRALIA,UNPROVOKED
725,2018,f,n,USA,UNPROVOKED
726,2018,m,n,USA,UNPROVOKED
727,2018,m,n,USA,UNPROVOKED
728,2018,m,n,AUSTRALIA,UNPROVOKED
729,2018,m,n,NEW ZEALAND,UNPROVOKED
730,2018,m,n,SAMOA,WATERCRAFT
731,2018,m,n,AUSTRALIA,QUESTIONABLE
732,2018,f,n,USA,UNPROVOKED
733,2018,m,n,AUSTRALIA,PROVOKED
734,2018,m,n,USA,UNPROVOKED
735,2018,m,n,AUSTRALIA,UNPROVOKED
736,2018,m,n,USA,WATERCRAFT
737,2018,m,n,FIJI,PROVOKED
738,2018,f,n,BAHAMAS,UNPROVOKED
739,2018,f,n,USA,QUESTIONABLE
740,2018,m,y,JAMAICA,UNPROVOKED
741,2018,f,n,AUSTRALIA,UNPROVOKED
742,2018,f,n,AUSTRALIA,UNPROVOKED
743,2018,m,y,USA,UNPROVOKED
744,2018,m,n,USA,UNPROVOKED
745,2018,m,n,USA,UNPROVOKED
746,2018,m,n,USA,UNPROVOKED
747,2018,m,n,IRELAND,PROVOKED
748,2018,m,n,BAHAMAS,UNPROVOKED
749,2018,m,n,USA,UNPROVOKED
750,2018,m,n,BAHAMAS,UNPROVOKED
751,2018,m,n,USA,UNPROVOKED
752,2018,m,n,ITALY,UNPROVOKED
753,2018,f,n,BAHAMAS,UNPROVOKED
754,2018,m,n,USA,QUESTIONABLE
755,2018,m,n,USA,UNPROVOKED
756,2018,m,n,USA,UNPROVOKED
757,2018,m,n,USA,UNPROVOKED
758,2018,f,n,USA,UNPROVOKED
759,2018,m,y,EGYPT,UNPROVOKED
760,2018,m,n,USA,UNPROVOKED
761,2018,f,n,CHINA,PROVOKED
762,2018,m,n,USA,UNPROVOKED
763,2018,f,n,USA,UNPROVOKED
766,2018,f,n,USA,PROVOKED
767,2018,f,n,USA,UNDER INVESTIGATION
768,2018,m,n,USA,UNPROVOKED
769,2018,m,n,USA,UNPROVOKED
770,2018,m,n,USA,UNPROVOKED
771,2018,f,n,BAHAMAS,UNPROVOKED
772,2018,m,n,USA,INVALID
773,2018,f,n,USA,UNPROVOKED
774,2018,f,n,USA,WATERCRAFT
775,2018,m,n,USA,PROVOKED
776,2018,f,n,USA,UNPROVOKED
777,2018,m,n,USA,INVALID
778,2018,m,n,AUSTRALIA,UNPROVOKED
779,2018,m,n,MEXICO,PROVOKED
780,2018,m,n,AUSTRALIA,UNPROVOKED
781,2018,m,y,BRAZIL,UNPROVOKED
782,2018,m,n,EGYPT,UNPROVOKED
783,2018,m,n,USA,PROVOKED
784,2018,m,n,USA,UNPROVOKED
785,2018,m,n,USA,UNPROVOKED
786,2018,m,n,AUSTRALIA,PROVOKED
787,2018,m,n,USA,UNPROVOKED
788,2018,m,n,USA,UNPROVOKED
789,2018,m,n,ENGLAND,INVALID
790,2018,f,n,AUSTRALIA,PROVOKED
791,2018,m,n,SOUTH AFRICA,UNPROVOKED
792,2018,m,n,AUSTRALIA,QUESTIONABLE
793,2018,m,n,THAILAND,UNPROVOKED
794,2018,m,n,USA,PROVOKED
795,2018,m,n,COSTA RICA,UNPROVOKED
796,2018,m,n,AUSTRALIA,UNPROVOKED
797,2018,m,n,AUSTRALIA,QUESTIONABLE
798,2018,m,n,AUSTRALIA,UNPROVOKED
799,2018,m,n,AUSTRALIA,UNPROVOKED
800,2018,m,n,MALDIVES,UNPROVOKED
801,2018,m,n,SOUTH AFRICA,UNPROVOKED
802,2018,m,n,USA,UNPROVOKED
803,2018,m,n,THAILAND,UNPROVOKED
805,2018,m,n,AUSTRALIA,UNPROVOKED
806,2018,m,n,AUSTRALIA,UNPROVOKED
807,2018,m,n,BAHAMAS,UNPROVOKED
808,2018,m,n,BRAZIL,INVALID
809,2018,m,n,NEW CALEDONIA,UNPROVOKED
810,2018,m,n,BAHAMAS,UNPROVOKED
811,2018,m,n,SOUTH AFRICA,UNPROVOKED
812,2018,m,n,USA,UNPROVOKED
813,2018,m,n,AUSTRALIA,UNPROVOKED
814,2018,m,n,AUSTRALIA,UNPROVOKED
815,2018,m,n,AUSTRALIA,UNPROVOKED
816,2018,m,n,SOUTH AFRICA,UNPROVOKED
817,2018,f,n,AUSTRALIA,UNPROVOKED
818,2018,m,n,AUSTRALIA,PROVOKED
819,2018,m,n,AUSTRALIA,UNPROVOKED
820,2018,f,n,AUSTRALIA,INVALID
821,2018,f,n,BRAZIL,INVALID
822,2018,m,n,ECUADOR,UNPROVOKED
823,2018,m,n,AUSTRALIA,INVALID
824,2018,m,n,AUSTRALIA,UNPROVOKED
825,2018,m,n,NEW CALEDONIA,UNPROVOKED
826,2018,m,n,FRENCH POLYNESIA,UNPROVOKED
827,2018,m,n,AUSTRALIA,UNPROVOKED
828,2018,m,n,AUSTRALIA,UNPROVOKED
829,2018,m,n,BRAZIL,UNPROVOKED
830,2018,m,n,AUSTRALIA,UNPROVOKED
831,2017,f,n,USA,UNPROVOKED
832,2017,f,n,USA,UNPROVOKED
833,2017,m,n,MALAYSIA,PROVOKED
834,2017,f,n,BAHAMAS,UNPROVOKED
835,2017,m,n,AUSTRALIA,UNPROVOKED
836,2017,m,n,COSTA RICA,UNPROVOKED
837,2017,f,y,COSTA RICA,UNPROVOKED
839,2017,m,n,USA,UNPROVOKED
840,2017,f,n,USA,UNPROVOKED
841,2017,m,n,,UNPROVOKED
842,2017,m,n,AUSTRALIA,UNPROVOKED
843,2017,m,y,CUBA,UNPROVOKED
844,2017,m,n,USA,UNPROVOKED
845,2017,m,n,AUSTRALIA,UNPROVOKED
846,2017,m,n,AUSTRALIA,UNPROVOKED
847,2017,m,n,USA,UNPROVOKED
848,2017,m,n,MAURITIUS,UNPROVOKED
849,2017,m,n,USA,UNPROVOKED
850,2017,f,n,USA,UNPROVOKED
851,2017,f,n,AUSTRALIA,UNPROVOKED
852,2017,m,n,NEW ZEALAND,WATERCRAFT
853,2017,m,n,USA,UNPROVOKED
854,2017,m,n,USA,UNPROVOKED
855,2017,f,n,USA,UNPROVOKED
857,2017,m,n,USA,UNPROVOKED
858,2017,m,n,AUSTRALIA,UNPROVOKED
860,2017,m,n,USA,UNPROVOKED
861,2017,m,n,USA,UNPROVOKED
862,2017,m,n,SPAIN,UNPROVOKED
863,2017,m,n,USA,UNPROVOKED
865,2017,m,n,SAMOA,
867,2017,m,n,USA,UNPROVOKED
868,2017,m,n,AUSTRALIA,UNPROVOKED
869,2017,m,n,AUSTRALIA,UNPROVOKED
870,2017,m,n,SOLOMON ISLANDS,UNPROVOKED
871,2017,m,y,SOUTH AFRICA,UNPROVOKED
872,2017,m,n,JAPAN,UNPROVOKED
873,2017,m,n,USA,UNPROVOKED
874,2017,f,n,USA,UNPROVOKED
875,2017,m,n,USA,UNPROVOKED
876,2017,m,n,AUSTRALIA,UNPROVOKED
877,2017,f,n,USA,UNPROVOKED
879,2017,m,n,NEW ZEALAND,WATERCRAFT
880,2017,m,n,USA,UNPROVOKED
881,2017,m,n,BAHAMAS,UNPROVOKED
882,2017,m,n,USA,UNPROVOKED
883,2017,f,n,EGYPT,UNPROVOKED
884,2017,m,n,USA,PROVOKED
885,2017,m,n,USA,WATERCRAFT
886,2017,m,n,USA,UNPROVOKED
888,2017,f,n,USA,UNPROVOKED
889,2017,f,n,BAHAMAS,UNPROVOKED
890,2017,m,n,BAHAMAS,UNPROVOKED
891,2017,m,n,"ST HELENA, BRITISH OVERSEAS TERRITORY",UNPROVOKED
892,2017,f,n,USA,UNPROVOKED
893,2017,f,n,SPAIN,UNPROVOKED
894,2017,f,n,USA,UNPROVOKED
896,2017,m,n,USA,WATERCRAFT
897,2017,m,n,USA,UNPROVOKED
898,2017,m,n,USA,UNPROVOKED
899,2017,m,n,AUSTRALIA,UNPROVOKED
900,2017,m,n,USA,WATERCRAFT
901,2017,m,n,USA,UNPROVOKED
902,2017,m,n,MEXICO,PROVOKED
903,2017,f,n,SOUTH AFRICA,UNPROVOKED
906,2017,f,n,USA,UNPROVOKED
907,2017,m,n,USA,UNPROVOKED
908,2017,f,n,USA,UNPROVOKED
909,2017,m,n,REUNION,UNPROVOKED
910,2017,m,n,SPAIN,UNPROVOKED
911,2017,m,n,FRENCH POLYNESIA,UNPROVOKED
912,2017,f,n,BAHAMAS,UNPROVOKED
913,2017,m,n,AUSTRALIA,UNPROVOKED
914,2017,f,n,AUSTRALIA,UNPROVOKED
915,2017,m,n,USA,UNPROVOKED
916,2017,m,n,UNITED KINGDOM,UNPROVOKED
917,2017,m,n,USA,UNPROVOKED
918,2017,f,n,BAHAMAS,UNPROVOKED
919,2017,f,n,USA,PROVOKED
920,2017,m,n,USA,UNPROVOKED
921,2017,m,n,AUSTRALIA,INVALID
922,2017,m,n,UNITED ARAB EMIRATES,UNPROVOKED
923,2017,m,n,AUSTRALIA,PROVOKED
924,2017,m,y,MEXICO,UNPROVOKED
926,2017,f,n,USA,UNPROVOKED
927,2017,m,n,SOUTH AFRICA,UNPROVOKED
928,2017,f,n,USA,UNPROVOKED
929,2017,m,y,REUNION,UNPROVOKED
930,2017,f,n,NEW ZEALAND,UNPROVOKED
932,2017,f,n,"ST HELENA, BRITISH OVERSEAS TERRITORY",UNPROVOKED
935,2017,f,y,AUSTRALIA,UNPROVOKED
936,2017,m,n,USA,UNPROVOKED
937,2017,m,n,USA,UNPROVOKED
938,2017,f,n,USA,UNPROVOKED
940,2017,f,n,USA,UNPROVOKED
941,2017,f,n,USA,UNPROVOKED
942,2017,f,n,USA,UNPROVOKED
943,2017,m,n,USA,UNPROVOKED
944,2017,f,n,USA,UNPROVOKED
945,2017,m,n,AUSTRALIA,UNPROVOKED
946,2017,f,n,USA,UNPROVOKED
947,2017,m,n,USA,UNPROVOKED
948,2017,m,n,AUSTRALIA,UNPROVOKED
949,2017,m,n,USA,WATERCRAFT
950,2017,m,n,PHILIPPINES,UNPROVOKED
951,2017,m,n,BAHAMAS,UNPROVOKED
952,2017,m,n,MEXICO,PROVOKED
953,2017,f,n,BAHAMAS,UNPROVOKED
954,2017,f,n,AUSTRALIA,UNPROVOKED
955,2017,m,n,AUSTRALIA,UNPROVOKED
956,2017,m,y,REUNION,UNPROVOKED
957,2017,m,n,AUSTRALIA,UNPROVOKED
958,2017,m,n,USA,UNPROVOKED
959,2017,f,n,BRAZIL,PROVOKED
960,2017,m,n,SOUTH AFRICA,WATERCRAFT
962,2017,m,n,BAHAMAS,UNPROVOKED
963,2017,m,n,USA,UNPROVOKED
964,2017,m,n,BRAZIL,UNPROVOKED
965,2017,m,n,USA,UNPROVOKED
966,2017,m,n,AUSTRALIA,UNPROVOKED
967,2017,m,n,AUSTRALIA,UNPROVOKED
968,2017,m,n,USA,UNPROVOKED
969,2017,m,n,INDONESIA,UNPROVOKED
971,2017,m,n,USA,UNPROVOKED
973,2016,m,n,USA,UNPROVOKED
974,2016,f,n,AUSTRALIA,UNPROVOKED
975,2016,m,n,SOUTH AFRICA,UNPROVOKED
976,2016,m,n,AUSTRALIA,UNPROVOKED
977,2016,m,n,FRENCH POLYNESIA,UNPROVOKED
979,2016,m,n,AUSTRALIA,PROVOKED
980,2016,m,n,AUSTRALIA,UNPROVOKED
981,2016,m,n,AUSTRALIA,PROVOKED
983,2016,f,n,USA,UNPROVOKED
984,2016,m,n,USA,UNPROVOKED
985,2016,m,n,USA,UNPROVOKED
986,2016,m,n,AUSTRALIA,UNPROVOKED
987,2016,m,n,USA,UNPROVOKED
988,2016,m,n,AUSTRALIA,UNPROVOKED
989,2016,f,n,USA,UNPROVOKED
991,2016,m,n,AUSTRALIA,UNPROVOKED
992,2016,m,n,USA,UNPROVOKED
993,2016,m,y,MOZAMBIQUE,UNPROVOKED
994,2016,m,n,USA,UNPROVOKED
995,2016,m,n,USA,UNPROVOKED
996,2016,m,n,AUSTRALIA,UNPROVOKED
997,2016,m,n,USA,UNPROVOKED
998,2016,m,n,USA,UNPROVOKED
999,2016,m,n,USA,UNPROVOKED
1000,2016,m,n,USA,UNPROVOKED
1001,2016,m,n,AUSTRALIA,UNPROVOKED
1002,2016,m,n,AUSTRALIA,UNPROVOKED
1004,2016,m,n,USA,UNPROVOKED
1005,2016,f,n,USA,UNPROVOKED
1006,2016,m,y,NEW CALEDONIA,UNPROVOKED
1007,2016,f,n,USA,UNPROVOKED
1008,2016,m,n,AUSTRALIA,UNPROVOKED
1009,2016,m,n,USA,UNPROVOKED
1010,2016,m,n,USA,UNPROVOKED
1012,2016,m,n,USA,UNPROVOKED
1013,2016,m,n,USA,UNPROVOKED
1014,2016,m,n,REUNION,UNPROVOKED
1015,2016,m,n,USA,UNPROVOKED
1016,2016,m,n,BAHAMAS,UNPROVOKED
1017,2016,m,n,USA,UNPROVOKED
1018,2016,m,n,USA,UNPROVOKED
1019,2016,m,n,SPAIN,UNPROVOKED
1020,2016,m,n,CHINA,UNPROVOKED
1021,2016,m,n,AUSTRALIA,WATERCRAFT
1022,2016,m,n,USA,PROVOKED
1023,2016,m,n,AUSTRALIA,UNPROVOKED
1024,2016,m,n,JAPAN,UNPROVOKED
1025,2016,m,n,AUSTRALIA,UNPROVOKED
1026,2016,m,n,BAHAMAS,UNPROVOKED
1027,2016,m,n,AUSTRALIA,PROVOKED
1029,2016,f,n,USA,UNPROVOKED
1030,2016,f,n,USA,UNPROVOKED
1031,2016,m,n,USA,UNPROVOKED
1032,2016,m,n,USA,UNPROVOKED
1033,2016,m,n,BAHAMAS,UNPROVOKED
1034,2016,f,n,SPAIN,UNPROVOKED
1035,2016,m,n,USA,WATERCRAFT
1036,2016,m,n,USA,PROVOKED
1037,2016,m,n,USA,WATERCRAFT
1038,2016,f,n,USA,UNPROVOKED
1039,2016,m,n,AUSTRALIA,PROVOKED
1040,2016,m,n,USA,UNPROVOKED
1041,2016,m,n,USA,UNPROVOKED
1042,2016,m,n,COLUMBIA,UNPROVOKED
1043,2016,m,n,SOUTH AFRICA,UNPROVOKED
1044,2016,m,n,USA,UNPROVOKED
1045,2016,m,n,USA,UNPROVOKED
1046,2016,m,n,USA,UNPROVOKED
1047,2016,m,n,AUSTRALIA,PROVOKED
1048,2016,f,n,USA,UNPROVOKED
1049,2016,m,n,USA,UNPROVOKED
1051,2016,m,n,USA,UNPROVOKED
1052,2016,f,y,AUSTRALIA,UNPROVOKED
1053,2016,m,n,EGYPT,UNPROVOKED
1055,2016,m,n,NEW CALEDONIA,UNPROVOKED
1056,2016,m,y,AUSTRALIA,UNPROVOKED
1057,2016,f,n,USA,UNPROVOKED
1058,2016,m,n,USA,UNPROVOKED
1059,2016,f,n,USA,UNPROVOKED
1060,2016,f,n,USA,UNPROVOKED
1061,2016,f,n,USA,UNPROVOKED
1062,2016,m,n,USA,UNPROVOKED
1063,2016,f,n,USA,PROVOKED
1064,2016,m,n,USA,UNPROVOKED
1065,2016,m,n,NEW ZEALAND,PROVOKED
1066,2016,f,n,USA,UNPROVOKED
1067,2016,m,n,INDONESIA,UNPROVOKED
1068,2016,m,n,USA,UNPROVOKED
1069,2016,m,n,SOUTH AFRICA,UNPROVOKED
1070,2016,m,n,AUSTRALIA,UNPROVOKED
1072,2016,m,n,FRENCH POLYNESIA,PROVOKED
1073,2016,m,n,USA,UNPROVOKED
1074,2016,f,y,NEW CALEDONIA,UNPROVOKED
1076,2016,m,n,USA,UNPROVOKED
1078,2016,f,n,USA,UNPROVOKED
1079,2016,m,n,AUSTRALIA,UNPROVOKED
1081,2016,m,n,AUSTRALIA,UNPROVOKED
1082,2016,m,n,BAHAMAS,PROVOKED
1084,2016,m,n,USA,UNPROVOKED
1085,2016,m,y,FIJI,UNPROVOKED
1086,2016,m,n,USA,UNPROVOKED
1087,2016,m,n,AUSTRALIA,UNPROVOKED
1088,2016,m,n,BRAZIL,UNPROVOKED
1089,2016,m,n,NEW CALEDONIA,UNPROVOKED
1090,2016,m,n,NEW CALEDONIA,UNPROVOKED
1091,2016,f,n,DOMINICAN REPUBLIC,UNPROVOKED
1094,2016,f,n,AUSTRALIA,UNPROVOKED
1095,2016,m,n,AUSTRALIA,UNPROVOKED
1096,2016,m,n,BRAZIL,UNPROVOKED
1097,2016,m,n,SOUTH AFRICA,WATERCRAFT
1098,2016,m,n,USA,UNPROVOKED
1099,2016,f,n,USA,UNPROVOKED
1100,2016,m,n,USA,UNPROVOKED
1101,2016,m,n,UNITED ARAB EMIRATES,WATERCRAFT
1102,2016,m,n,USA,UNPROVOKED
1103,2016,m,n,AUSTRALIA,UNPROVOKED
1104,2016,m,n,AUSTRALIA,UNPROVOKED
1105,2016,m,n,AUSTRALIA,UNPROVOKED
1106,2015,m,n,SOUTH AFRICA,WATERCRAFT
1107,2015,f,n,SPAIN,UNPROVOKED
1108,2015,m,n,USA,UNPROVOKED
1109,2015,m,n,AUSTRALIA,UNPROVOKED
1110,2015,m,n,BRAZIL,UNPROVOKED
1111,2015,m,y,ARUBA,UNPROVOKED
1113,2015,m,n,BAHAMAS,UNPROVOKED
1114,2015,f,n,SOUTH AFRICA,UNPROVOKED
1115,2015,m,n,ECUADOR,UNPROVOKED
1116,2015,m,n,USA,UNPROVOKED
1117,2015,f,n,USA,UNPROVOKED
1118,2015,m,n,USA,UNPROVOKED
1119,2015,m,n,AUSTRALIA,UNPROVOKED
1121,2015,m,n,USA,UNPROVOKED
1122,2015,f,n,USA,UNPROVOKED
1123,2015,m,n,MOZAMBIQUE,UNPROVOKED
1124,2015,m,n,AUSTRALIA,UNPROVOKED
1125,2015,m,n,USA,UNPROVOKED
1126,2015,m,n,SOUTH AFRICA,UNPROVOKED
1127,2015,m,n,USA,UNPROVOKED
1128,2015,m,n,USA,UNPROVOKED
1129,2015,f,y,MOZAMBIQUE,UNPROVOKED
1131,2015,m,n,USA,UNPROVOKED
1132,2015,m,n,USA,WATERCRAFT
1133,2015,f,n,USA,UNPROVOKED
1134,2015,m,n,USA,UNPROVOKED
1135,2015,m,n,MOZAMBIQUE,UNPROVOKED
1136,2015,m,n,AUSTRALIA,UNPROVOKED
1137,2015,m,n,USA,UNPROVOKED
1138,2015,m,n,USA,UNPROVOKED
1139,2015,m,n,USA,UNPROVOKED
1140,2015,m,n,USA,UNPROVOKED
1141,2015,f,n,AUSTRALIA,UNPROVOKED
1142,2015,m,n,USA,WATERCRAFT
1143,2015,m,n,USA,UNPROVOKED
1144,2015,m,n,USA,UNPROVOKED
1145,2015,m,n,USA,UNPROVOKED
1146,2015,m,n,USA,UNPROVOKED
1147,2015,m,n,USA,WATERCRAFT
1148,2015,m,n,USA,UNPROVOKED
1149,2015,m,n,USA,UNPROVOKED
1150,2015,m,n,AUSTRALIA,UNPROVOKED
1151,2015,f,n,USA,UNPROVOKED
1152,2015,m,n,USA,PROVOKED
1153,2015,m,n,AUSTRALIA,UNPROVOKED
1154,2015,m,n,USA,UNPROVOKED
1155,2015,f,n,THAILAND,UNPROVOKED
1156,2015,m,n,FIJI,UNPROVOKED
1157,2015,f,n,USA,UNPROVOKED
1158,2015,m,n,USA,UNPROVOKED
1160,2015,m,n,AUSTRALIA,UNPROVOKED
1161,2015,m,n,USA,UNPROVOKED
1162,2015,f,n,USA,UNPROVOKED
1163,2015,m,n,USA,WATERCRAFT
1165,2015,m,n,USA,PROVOKED
1166,2015,m,n,AUSTRALIA,UNPROVOKED
1167,2015,m,n,COSTA RICA,UNPROVOKED
1169,2015,m,n,USA,UNPROVOKED
1171,2015,m,y,AUSTRALIA,UNPROVOKED
1172,2015,m,n,USA,PROVOKED
1173,2015,m,n,AUSTRALIA,UNPROVOKED
1174,2015,m,n,REUNION,UNPROVOKED
1175,2015,m,n,SOUTH AFRICA,UNPROVOKED
1176,2015,m,n,USA,UNPROVOKED
1179,2015,f,n,BAHAMAS,UNPROVOKED
1180,2015,m,n,USA,UNPROVOKED
1181,2015,m,n,AUSTRALIA,UNPROVOKED
1182,2015,m,n,AUSTRALIA,UNPROVOKED
1183,2015,m,n,USA,UNPROVOKED
1184,2015,m,n,AUSTRALIA,UNPROVOKED
1185,2015,m,n,USA,UNPROVOKED
1186,2015,m,n,USA,UNPROVOKED
1187,2015,m,n,SOUTH AFRICA,UNPROVOKED
1189,2015,m,n,SOUTH AFRICA,UNPROVOKED
1190,2015,m,n,USA,UNPROVOKED
1191,2015,m,n,AUSTRALIA,PROVOKED
1192,2015,m,n,USA,UNPROVOKED
1193,2015,m,n,USA,UNPROVOKED
1194,2015,f,n,AUSTRALIA,INVALID
1195,2015,m,n,USA,UNPROVOKED
1196,2015,m,n,PUERTO RICO,UNPROVOKED
1197,2015,m,n,USA,UNPROVOKED
1198,2015,m,n,USA,UNPROVOKED
1199,2015,f,n,USA,UNPROVOKED
1200,2015,f,n,USA,UNPROVOKED
1201,2015,f,n,USA,UNPROVOKED
1202,2015,m,n,USA,UNPROVOKED
1203,2015,f,n,USA,UNPROVOKED
1204,2015,m,n,REUNION,UNPROVOKED
1205,2015,f,n,USA,UNPROVOKED
1206,2015,f,n,USA,UNPROVOKED
1207,2015,m,n,FRENCH POLYNESIA,UNPROVOKED
1208,2015,f,n,USA,UNPROVOKED
1209,2015,m,n,USA,UNPROVOKED
1210,2015,m,n,USA,UNPROVOKED
1211,2015,m,y,NEW CALEDONIA,UNPROVOKED
1212,2015,m,n,USA,UNPROVOKED
1213,2015,m,n,AUSTRALIA,UNPROVOKED
1214,2015,m,n,SOUTH AFRICA,UNPROVOKED
1215,2015,f,y,USA,UNPROVOKED
1216,2015,m,n,USA,UNPROVOKED
1217,2015,m,n,AUSTRALIA,UNPROVOKED
1218,2015,m,n,AUSTRALIA,UNPROVOKED
1219,2015,m,n,USA,UNPROVOKED
1220,2015,m,y,REUNION,UNPROVOKED
1221,2015,m,n,AUSTRALIA,UNPROVOKED
1222,2015,m,n,USA,UNPROVOKED
1225,2015,m,n,SOUTH AFRICA,WATERCRAFT
1226,2015,m,y,EGYPT,UNPROVOKED
1227,2015,m,n,USA,UNPROVOKED
1228,2015,m,n,FRENCH POLYNESIA,UNPROVOKED
